TransactionAmount,TransactionType,CustomerAge,AccountBalance,Channel,CustomerOccupation,Target
44.896592700856516,Debit,70.0,50.59849687348209,ATM,Doctor,2
52.04232443224486,Debit,68.0,60.90834040216866,ATM,Doctor,2
47.110457398528126,Debit,19.0,45.84121001244085,Online,Student,1
48.25902303178538,Debit,26.0,54.720252294872935,Online,Student,1
44.88396459562916,Credit,45.0,53.361385180724994,Online,Student,2
46.436826910306124,Debit,18.0,45.43501407700679,ATM,Student,1
44.75827548578809,Credit,37.0,60.38108574913511,ATM,Doctor,3
48.0009361312012,Credit,67.0,47.83706322629505,Branch,Retired,0
46.71464522530805,Credit,51.0,55.347520788468344,Branch,Engineer,3
60.7186219800181,Debit,55.0,45.72141517980791,ATM,Doctor,2
44.969401620058015,Credit,52.0,53.56422679441579,Online,Engineer,3
48.36794043937136,Debit,21.0,46.32585027990357,Online,Student,1
54.37615612957639,Credit,24.000000000000004,46.43460400424367,Branch,Student,1
60.04380760693104,Debit,26.0,44.72915817006574,ATM,Student,1
47.91352596533057,Debit,18.0,44.860602206588624,Online,Student,1
53.80256391245238,Debit,36.0,48.63509927169386,ATM,Engineer,3
55.58529720509613,Credit,19.0,45.85183380022585,Branch,Student,1
54.344783180652165,Debit,39.0,50.59582602223199,Online,Engineer,3
44.987159893034,Credit,59.0,53.980176106289946,Branch,Retired,0
46.02897857429122,Credit,18.0,52.33500327688554,Online,Student,1
45.78904457497137,Debit,71.0,51.36002333616746,Branch,Retired,0
46.310940486320874,Debit,38.0,55.40838996539589,Branch,Doctor,3
45.64855690431699,Debit,39.0,55.20418907919389,Online,Engineer,3
51.44248943394524,Debit,22.0,46.17524527034982,Online,Student,1
47.49028712606982,Debit,21.0,46.805351543398466,Online,Student,1
44.766365365699365,Credit,65.0,48.83676046451965,Online,Retired,2
49.49085523388554,Debit,23.0,45.30584741811234,ATM,Student,1
45.41414770103412,Debit,37.0,47.70623920881237,Branch,Engineer,3
47.13334583925271,Debit,44.0,46.615888032844346,Online,Doctor,3
45.72689061955546,Debit,27.0,46.11466225605621,Branch,Student,1
45.17717341387693,Credit,59.0,54.44054024364014,Online,Doctor,2
45.785098292087824,Debit,29.0,56.21614361690557,ATM,Doctor,3
52.4410963176276,Debit,49.0,56.0569775752198,ATM,Engineer,3
61.93900996175597,Debit,22.0,44.978727757190235,Online,Student,1
49.6552179159854,Credit,45.0,62.16860064203827,Branch,Doctor,3
47.08026833446897,Debit,49.0,51.37651345794822,Branch,Engineer,3
46.16019248016926,Debit,26.0,45.576819585566895,Branch,Student,1
57.429789824867456,Debit,75.0,50.31668629626708,ATM,Retired,0
60.31116827229155,Debit,66.0,53.94024449541231,ATM,Doctor,2
51.24103169274001,Debit,55.0,45.718446242480795,Online,Retired,2
51.09975476550892,Debit,63.0,49.65827376934459,ATM,Retired,0
45.28983979020229,Debit,38.0,61.45153669860126,Online,Doctor,3
49.38213514044374,Credit,57.0,60.429149148193865,Online,Doctor,2
45.71011891730037,Debit,19.0,44.79127930851678,ATM,Student,1
50.623043793176066,Debit,27.0,45.538664567708295,Branch,Student,1
53.207069825324666,Debit,74.0,50.07514118633597,Branch,Retired,0
47.86419742928619,Debit,26.0,46.30255187212366,Branch,Student,1
54.68633396422342,Debit,19.0,45.43503792389295,Online,Student,1
56.9882007701982,Debit,26.0,44.81956171550446,Online,Student,1
45.052865503045105,Credit,41.0,46.09486934054206,Online,Engineer,3
53.01113688015641,Credit,69.0,49.162115455865795,Online,Retired,2
52.99574637691056,Debit,51.0,50.683916419713036,Online,Engineer,3
46.30423180541884,Debit,67.0,62.27475505578675,Branch,Doctor,0
47.96305181551912,Debit,28.0,45.598603716075544,Branch,Student,1
46.68307496223965,Debit,62.0,49.842037874106076,ATM,Retired,0
50.87244887141643,Debit,25.0,46.08168201249468,Branch,Student,1
45.81311690056103,Credit,57.0,48.71783604323162,Branch,Retired,0
50.391199673767495,Credit,68.0,50.03351644654085,Branch,Retired,0
52.24516337245933,Debit,48.0,51.21660816279144,Branch,Engineer,3
46.82987668550771,Debit,23.0,45.61222028807383,Branch,Student,1
55.83628079648992,Debit,46.0,51.060768761725214,ATM,Engineer,3
49.82747316385237,Debit,79.0,49.48104371139138,Branch,Retired,0
51.517468808732694,Debit,48.0,52.434003624785525,Online,Engineer,3
56.48504970254556,Credit,56.0,54.58817631586677,Branch,Engineer,3
44.73242733290083,Debit,50.0,61.181637641023976,Online,Doctor,2
48.59110273643612,Credit,42.0,47.58527587875752,Branch,Engineer,3
50.50682576225552,Debit,56.0,48.097602381053896,Branch,Retired,0
54.89982786822348,Debit,25.0,46.829746907941804,Branch,Student,1
46.93267735462419,Credit,60.0,48.87384237250098,Online,Engineer,2
48.350182166395385,Credit,32.0,45.66791469070431,Branch,Engineer,3
47.25370746720099,Debit,44.0,49.08907244355274,ATM,Engineer,3
47.444312930476464,Debit,35.0,52.10396272030862,Online,Engineer,3
45.10732420683809,Debit,62.0,51.497286012913776,ATM,Retired,0
49.23414953231061,Credit,26.0,52.29807637366426,Online,Student,1
62.36190350126441,Debit,20.0,45.22548341174766,Branch,Student,1
